id,name.local,name.en,name.slug,code.id,children_count.ta,geo.lat,geo.lon
MW312,Balaka,Balaka,balaka-mw312,MW312,12,-15.034,35.061
MW305,Blantyre,Blantyre,blantyre-mw305,MW305,8,-15.686,34.929
MW315,Blantyre City,Blantyre City,blantyre-city-mw315,MW315,23,-15.796,35.051
MW310,Chikwawa,Chikwawa,chikwawa-mw310,MW310,15,-16.217,34.674
MW304,Chiradzulu,Chiradzulu,chiradzulu-mw304,MW304,10,-15.765,35.208
MW302,Machinga,Machinga,machinga-mw302,MW302,19,-14.908,35.518
MW301,Mangochi,Mangochi,mangochi-mw301,MW301,17,-14.397,34.987
MW308,Mulanje,Mulanje,mulanje-mw308,MW308,10,-15.908,35.544
MW306,Mwanza,Mwanza,mwanza-mw306,MW306,5,-15.615,34.51
MW313,Neno,Neno,neno-mw313,MW313,5,-15.497,34.682
MW311,Nsanje,Nsanje,nsanje-mw311,MW311,11,-16.786,35.139
MW309,Phalombe,Phalombe,phalombe-mw309,MW309,7,-15.7,35.672
MW307,Thyolo,Thyolo,thyolo-mw307,MW307,16,-16.132,35.145
MW303,Zomba,Zomba,zomba-mw303,MW303,11,-15.441,35.34
MW314,Zomba City,Zomba City,zomba-city-mw314,MW314,10,-15.395,35.321
